season,player_id,player,team,pos,g,mp,pts_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,fg_percent,x3p_percent,e_fg_percent,avg_dist_fga,percent_fga_from_x0_3_range,percent_fga_from_x3p_range,fg_percent_from_x3p_range,percent_assisted_x3p_fg,percent_dunks_of_fga,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,net_plus_minus_per_100_poss,points_generated_by_assists
2026,giddejo01,Josh Giddey,CHI,PG,17,578,21.7,10.6,9.8,1.0,0.4,3.6,2.1,0.469,0.392,0.529,11.6,0.287,0.306,0.392,0.806,0.008,55.0,44.0,1.0,0.0,0.0,5.1,392
2026,gilgesh01,Shai Gilgeous-Alexander,OKC,PG,21,703,35.0,5.2,7.1,1.6,0.8,1.9,2.0,0.545,0.411,0.598,13.3,0.196,0.259,0.411,0.205,0.01,100.0,0.0,0.0,0.0,0.0,12.1,359
2026,gilleco01,Collin Gillespie,PHO,PG,21,555,17.3,5.2,6.7,1.6,0.5,2.4,1.9,0.439,0.429,0.58,20.6,0.052,0.66,0.429,0.733,0.0,95.0,5.0,0.0,0.0,0.0,2.8,255
2026,goberru01,Rudy Gobert,MIN,C,20,637,11.7,11.4,2.1,0.5,1.8,1.9,3.3,0.725,,0.725,2.3,0.708,0.0,,,0.408,0.0,0.0,0.0,0.0,100.0,14.2,96
2026,goodwjo01,Jordan Goodwin,PHO,PG,18,359,14.7,8.0,3.5,2.6,0.3,2.1,2.9,0.436,0.361,0.519,15.2,0.218,0.459,0.361,0.864,0.023,34.0,63.0,3.0,0.0,0.0,11.1,87
2026,gordoaa01,Aaron Gordon,DEN,PF,13,368,23.9,7.5,1.7,1.0,0.3,1.8,2.3,0.532,0.444,0.623,13.7,0.305,0.409,0.444,0.786,0.13,0.0,0.0,0.0,98.0,2.0,17.7,41
2026,grantje01,Jerami Grant,POR,PF,19,552,23.7,4.3,3.0,1.0,0.7,2.6,3.9,0.445,0.393,0.534,13.9,0.261,0.45,0.393,0.976,0.042,0.0,0.0,45.0,53.0,3.0,-5.4,117
2026,greenaj01,A.J. Green,MIL,SG,21,610,14.0,3.5,2.6,0.7,0.1,1.0,3.6,0.494,0.493,0.721,24.5,0.013,0.922,0.493,0.929,0.0,2.0,96.0,3.0,0.0,0.0,6.0,106
2026,greendr01,Draymond Green,GSW,PF,18,524,9.9,7.6,7.2,1.0,1.0,3.8,4.6,0.377,0.329,0.475,16.9,0.225,0.594,0.329,1.0,0.014,0.0,0.0,19.0,56.0,26.0,16.5,255
2026,greenja02,Javonte Green,DET,SG,20,402,12.2,5.6,1.6,1.7,0.9,1.3,2.8,0.421,0.321,0.5,14.9,0.224,0.495,0.321,1.0,0.093,13.0,61.0,25.0,1.0,0.0,0.1,43
2026,grimequ01,Quentin Grimes,PHI,SG,19,628,18.5,4.1,4.7,1.0,0.5,3.0,2.6,0.448,0.369,0.546,16.2,0.274,0.53,0.369,0.822,0.043,0.0,45.0,54.0,0.0,0.0,5.9,198
2026,gueyemo02,Mouhamed Gueye,ATL,PF,21,365,13.5,8.2,2.5,1.1,1.5,1.5,3.9,0.518,0.271,0.576,12.7,0.304,0.429,0.271,1.0,0.214,0.0,0.0,0.0,65.0,35.0,5.3,61
2026,hachiru01,Rui Hachimura,LAL,PF,18,605,15.8,4.0,1.0,0.6,0.2,1.1,1.9,0.545,0.461,0.638,15.2,0.222,0.402,0.461,1.0,0.074,0.0,0.0,0.0,92.0,8.0,-7.6,41
